sku	asin	price	quantity	Business Price	Quantity Price Type	Quantity Lower Bound 1	Quantity Price 1	Quantity Lower Bound 2	Quantity Price 2	Quantity Lower Bound 3	Quantity Price 3	Quantity Lower Bound 4	Quantity Price 4	Quantity Lower Bound 5	Quantity Price 5	Progressive Price Type	Progressive Lower Bound 1	Progressive Price 1	Progressive Lower Bound 2	Progressive Price 2	Progressive Lower Bound 3	Progressive Price 3	Minimum order quantity	Sell remainder
02-ZCJX-YMEJ	B08RP6J47J	27.49		27.22	fixed	5	26.12																	false
07-RYP6-MT08	B08SCFCK2H	36.98		36.63																				false
09-MWHQ-H5TB	B08GFVMJTR	15.69		15.53	fixed	5	14.91																	false
0Y-J3AN-1SZ7	B09CZHP57M	35.99		35.9																				false
14-NEBT-OSKT	B08XFSQYKG	31.49		31.4																				false
25-10VE-GZ0T	B07P52D4LY	40.98		40.59																				false
2L-YNVU-VH0U	B08GJ7T3H1	20.99		20.78	fixed	5	19.95																	false
2R-9ZP5-A8W2	B09QD5239J	12.99		12.9																				false
2R-KNCM-T7QB	B08GFWYC7M	15.49		15.4	percent	5	3.00	10	5.00															false
30-KYUT-8ZEH	B09QD83C83	25.99		25.73	fixed	5	24.70																	false
34-7W3X-QKGZ	B08GJ8BTPS	23.49		23.26	fixed	5	22.32																	false
4A-35OW-BLG1	B08GD16NK3	17.49		17.32	fixed	5	16.62																	false
4B-9EAW-HI3A	B09RQ7P7WV	22.97		22.87																				false
54-T330-4YP9	B08GFWCTKK	13.99		13.85	fixed	5	13.30																	false
57-84PR-ASQA	B08SCBWMWF	39.87		39.1																				false
58-HLY9-MVCM	B09V1GMGDD	22.49		22.27	fixed	5	21.37																	false
5P-3IB4-A2UC	B07ZPBP9G6	15.99		15.9																				false
5P-U511-BYLY	B08GJ7T9X6	15.49		15.34	fixed	5	14.72																	false
60-J3H9-BG7K	B08S212QHB	35.99		35.63	fixed	5	34.20																	false
62-QQ2Z-Z829	B08XVQSZLL	33.99		33.9																				false
65-JJNY-PNPZ	B09C26G37R	14.99		14.9																				false
6A-TNE9-3CH4	B09BNGBCD3	14.99		14.9	percent	5	3.00	10	5.00															false
6S-7WJG-7U3J	B09BNHL7WG	17.99		17.9																				false
6X-S176-6PJQ	B08XWH5MSM	31.99		31.9																				false
6Z-R0CA-A8ZW	B07ZPC81W2	26.49		26.23	fixed	5	25.17																	false
7G-OVBG-54QN	B0BJFJNG16	15.99		15.83	fixed	5	15.20																	
7H-B0F3-YDBF	B08XFKLXZZ	26.99		26.9																				false
7Q-22RC-QHQC	B08GD325J7	16.49		16.33	fixed	5	15.67																	false
89-7HOX-YNO1	B09JD8T5X7	27.48		27.23																				false
8O-5W99-U0FD	B09TRFKWYB	12.99		12.86	fixed	5	12.35																	false
91-OJ48-OMX7	B08RP524LV	31.49		31.18	fixed	5	29.92																	false
95-EZLT-EG2U	B09WPQQW41	9.99		9.9																				false
9L-HBWO-UNTN	B09JGD3YWL	19.98		19.79																				false
9O-LQ2Q-V2B0	B0B5FVZQ8X	8.99		8.9																				false
9R-ST93-05C5	B09TRCDRVY	22.99		21.9																				false
9V-0QXH-HQAP	B09JCQP9QC	25.98		25.74																				false
9Z-ZYL5-JLO7	B08GJ8WQTY	14.99		14.84	fixed	5	14.25																	false
A5-M669-W35F	B09GKTR4CL	25.99		25.73	fixed	5	24.70																	false
A6-Q9GJ-WQ5E	B09446V6XJ	14.99		14.9																				false
AM-G9HC-JJAV	B08XWLWPC8	30.48		30.18	fixed	5	28.96																	false
B1-0L74-BB90	B09TRCVY5D	22.99		22.76	fixed	5	21.85																	false
B6-IGP0-E411	B09CZGLS2D	37.99		37.9																				false
BA-6VIL-XLK6	B09BNHCYCG	49.99		49.9																				false
BM-19CK-S2P4	B08XWHSD3F	38.48		38.1	fixed	5	36.56																	false
BX-R178-Y4NF	B08SCD4RVN	46.95		46.56																				false
C4-KNSM-500E	B09JCT535C	23.48		23.27																				false
CM-OF55-71LQ	B08XF8T56K	23.99		23.9																				false
D9-JVPE-0X50	B09QD6N58V	21.90		21.8																				false
DU-YQ9H-J94P	B09BR1JCKL	29.99		29.9																				false
DX-CGQC-M3V8	B09JCPYPTY	29.99		29.71																				false
DZ-F03D-08JX	B08GDP3K7K	18.69		18.6																				false
EL-XL4H-7186	B09V1G65XK	25.99		25.9																				false
EX-PIVU-N4WA	B09TRDJV6R	22.99		22.9																				false
FA-GB40-ZTUM	B08GD1XMYX	15.99		15.9																				false
FH-YQON-PAFV	B09JCQY8GL	27.98		27.72																				false
FQ-JDED-Z21K	B08GJ8HWT5	22.49		22.27	fixed	5	21.37																	false
G5-LYMZ-BYYT	B08GJ7RKMP	16.99		16.82	fixed	5	16.15																	false
GJ-6IO8-W0G9	B07ZPBVDLY	29.97		29.9																				false
GK-4SMV-2S8T	B09BVP8XFW	16.99		16.9																				false
HZ-C98I-S7TP	B08GJ74PS2	17.99		17.81	fixed	5	17.10																	false
IF-61FU-05J0	B08GJ79JKY	21.49		21.28	fixed	5	20.42																	false
IF-JZE6-BBFM	B08XFDZSYG	19.49		19.4																				false
II-HPXR-APRD	B09BVQ8NF3	15.49		15.4																				false
IV-XWNQ-QS7K	B08XW1521V	29.99		29.9																				false
IX-HQSP-RP5Q	B08GJ87Y87	18.99		18.8	fixed	5	18.05																	false
J0-4EOO-GOQ2	B09QJ7P35S	31.99		31.67	fixed	5	30.40																	false
JS-PO9Y-GGJ0	B09BNGBGTK	9.49		9.4	fixed	5	9.02																	false
JV-VJY6-PMSJ	B09445QYYT	14.99		14.9																				false
JV-YDRH-BYKA	B07NZJJHDG	40.96		40.9																				false
JZ-KPUW-ZP2O	B08GJ6XSWW	15.49		15.34	fixed	5	14.72																	false
K9-EVG4-MYQB	B09QJTMLDK	22.99		22.9																				false
KO-R1S0-1M7E	B08GJB1MHB	15.99		15.83	fixed	5	15.20																	false
LA-E7RD-YZBQ	B08GJ7674N	27.19		26.92	fixed	5	25.84																	false
LG-45EQ-K0QX	B08XVVSCYL	43.98		43.54	fixed	5	41.79																	false
M3-ONG5-94IH	B08SCK7GP1	29.94		29.7																				false
MJ-SKA8-BE84	B08GD322YP	22.49		22.27	fixed	5	21.37																	false
MZ-LJYL-19Q6	B08GJ8B2CN	29.99		29.69	fixed	5	28.50																	false
NO-HYCY-HJTD	B09BVPPH1B	10.99		10.9																				false
O2-9G8H-U96K	B08GJ8LXYK	19.99		19.79	fixed	5	19.00																	false
OA-VZU8-R4E6	B08GFVZ86G	14.99		14.84	fixed	5	14.25																	false
OJ-I25H-MWPX	B09QJ8GWDC	18.99		18.9																				false
OM-G34F-FUII	B08GJ9K96M	34.99		34.64	fixed	5	33.25																	false
PB-X2LR-EFGR	B08XFYW5CG	29.49		29.2	fixed	5	28.02																	false
PG-6CEX-FJVK	B08GH7LCGC	31.99		31.67	fixed	5	30.40																	false
PM-LHJ4-WEIF	B08XW6QH4W	28.98		28.69	fixed	5	27.54																	false
Q3-O0M7-42OG	B09TRDGS2F	12.99		12.9																				false
R2-JBUH-KQTI	B08GCYZPZX	19.99		19.9																				false
RI-897L-YJHU	B08SCJC5BX	27.96		27.74																				false
RI-ZWH8-BLFL_FBM	B09BZM7W2J	21.99		21.9																				false
SE-QQU9-00RU	B09BVQB3TS	12.99		12.86	fixed	5	12.35																	false
SG-APSR-ZJX7	B08SCJ58RH	32.99		32.68																				false
SO-DJSH-NNE8	B09JCQ9K31	25.77		25.53																				false
SS-AOGO-KFY6	B08SCFX42D	25.99		25.74																				false
SV-MF6Q-7K4T	B08XFQC1K5	25.99		25.9																				false
TK-CE3Q-QCGD	B09JCRSC1X	22.99		22.78																				false
TM-8WVP-SJN4	B08GFVZVV2	14.49		14.35	fixed	5	13.77																	false
TO-QY9S-T9OH	B0BJFLL2R9	15.99		15.83	fixed	5	15.20																	
TO-VTNJ-L8D1	B08NPRQPZY	32.49		32.37																				false
U1-3J8F-95E1	B0944899KY	29.99		29.9																				false
U2-DNA6-EOTD	B07ZPD57TS	27.49		27.22	fixed	5	26.12																	false
U9-D5IA-8F7Z	B08GJ7NP4W	26.99		26.72	fixed	5	25.65																	false
UA-0KEE-NJEO	B09GKVXT43	27.99		27.71	fixed	5	26.60																	false
UN-U3QV-L1YZ	B0BJFJRKQ4	16.49		16.33	fixed	5	15.67																	
VA-ZKXX-Q8ZG	B09TRDJYRR	12.99		12.9																				false
VU-BQPW-YCKA	B09JD6B6P3	24.49		24.27																				false
WK-W9NS-7RZT	B09BNJDJB7	65.99		65.9																				false
WP-CKWX-32I0	B09447FV6Q	29.99		29.9																				false
WP-RL06-9J7C	B09GKW85JT	23.99		23.75	fixed	5	22.80																	false
X5-UL3C-VSKP	B08SCGL8HV	27.99		27.72																				false
XH-8YPM-21QY	B08GJ7ZX76	14.99		14.84	fixed	5	14.25																	false
XJ-GIEY-EW97	B08XFBDV22	34.49		34.15	fixed	5	32.77																	false
YH-XKM8-ZR3B	B09BNG1QG5	24.99		24.74	fixed	5	23.75																	false
YN-JM9Q-CM89	B09BNGNKD5	12.99		12.59																				false
YS-Z77C-M62B	B09BNG9D11	54.99		54.9																				false
YX-ZU3N-YRQO	B08SCHG523	33.99		33.68																				false
YZ-06IP-MO3B	B08GJ83LFQ	21.99		21.77	fixed	5	20.90																	false
Z9-XIJ2-4V14	B08XFFL9Z2	24.99		24.74	fixed	5	23.75																	false
ZB-6HT1-7T8R	B08GJ7T4JX	27.99		27.71	fixed	5	26.60																	false
ZJ-O015-RGNY	B07P589646	41.96		41.59																				false
ZV-1UFP-5DI2	B08XFFRYHC	28.99		28.7	fixed	5	27.55																	false
amzn.gr.7Q-22RC-QHQC-kWfBko2Qi6M1hiqf-LN	B08GD325J7	16.16		16.0	fixed	5	15.36																	false
08-1O12-WH2V	B09V1DKP1J	29.99		29.9	percent	10	5.00																	false
1E-2WNT-VCHB	B08GJ8M75C	17.99		4.9																				false
2I-PB7C-OYPH_FBM	B09BZLK44P	26.99		26.9																				false
8L-J0EW-DRZI	B08XFXNKXW	15.99		15.9																				false
AH-SVFG-MP9L	B08GJ7QG6P	29.99		9.9																				false
GR-J00B-A8DI	B08GFVCVXY	12.99		12.9																				false
IT-JXWS-5JZ0_FBM	B09BZJJDRZ	23.99		23.9																				false
OC-ACE8-LSG3	B08GH8HFL2	17.99		5.4																				false
PR-QMQ2-QAYU	B09V1GRNVJ	19.20		17.9																				false
QE-MEHE-24RU	B08GFW35VD	17.49		17.4																				false
amzn.gr.GJ-6IO8-W0G9-Uhpr9uQHJA1M-CXj-VG	B07ZPBVDLY	26.87		26.6	fixed	5	25.53																	
amzn.gr.GJ-6IO8-W0G9-c65-V6bg88QEJ4BT-VG	B07ZPBVDLY	26.87		26.6	fixed	5	25.53																	
amzn.gr.TO-VTNJ-L8D1-gBmwKbH7btkpBI2U-VG	B08NPRQPZY	28.31		28.03	fixed	5	26.90																	