amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-iba	order-invoice-type
403-5002514-7841928	403-5002514-7841928	2023-08-29T06:06:32+00:00	2023-08-29T13:49:30+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83							LOSNE		21170	FR		false			false	
403-0622523-8952303	403-0622523-8952303	2023-08-29T05:06:52+00:00	2023-08-29T13:32:29+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Lot de 100 vis d'ajustement de qualité supérieure - 6 x 110mm, T30 - Bleu galvanisé - Acier - Rainures de fraisage - Pointe coupée, Fi	ZV-1UFP-5DI2	B08XFFRYHC	Shipped	2	EUR	59.98	10.0							LE SOLER		66270	FR		false			false	
171-4768965-4604301	171-4768965-4604301	2023-08-28T18:49:09+00:00	2023-08-29T13:31:37+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Shipped	1	EUR	28.99	4.83							Janze	France	35150	FR		false			false	
405-3051819-7288357	405-3051819-7288357	2023-08-28T22:04:15+00:00	2023-08-29T13:31:20+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme cales en plastique | 125 x cales mix avec aide au montage | FABRIQUÉ EN ALLEMAGNE | Cales en plastique, cales de montage, cal	6Z-R0CA-A8ZW	B07ZPC81W2	Shipped	1	EUR	28.99	4.83							landivisiau		29400	FR		false			false	
408-1653409-9484342	408-1653409-9484342	2023-08-28T21:19:19+00:00	2023-08-29T13:31:17+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXTï¿½ Lot de 40 plaques de rondelle enfichables de qualitï¿½ supï¿½rieure - 40 x 80-200 piï¿½ces - Mï¿½lange jusqu'ï¿½ 16t -	MH-CJRY-5P2K	B0BZ148L38	Shipped	1	EUR	34.52	5.75	0.47					0.47	Doue En Anjou		49700	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
171-5604059-0537114	171-5604059-0537114	2023-08-28T06:52:20+00:00	2023-08-29T13:31:13+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83	1.38					1.38	LES HOUCHES		74310	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
407-2333729-2793920	407-2333729-2793920	2023-08-28T11:39:27+00:00	2023-08-29T13:30:59+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	45.99	7.67							La Garde		83130	FR		false			false	
171-8237358-2140344	171-8237358-2140344	2023-08-28T08:27:10+00:00	2023-08-29T13:30:49+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Shipped	2	EUR	60.78	10.14							ST LOUIS		68300	FR		false			false	
405-6349528-9357118	405-6349528-9357118	2023-08-28T13:19:52+00:00	2023-08-29T13:30:42+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	23.09								Paris		75018	FR	Free Shipping 2017/10/17 17-17-37-677	true	280823-1	Business Price	false	
407-1772455-5125142	407-1772455-5125142	2023-08-27T16:07:22+00:00	2023-08-29T13:30:34+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	1	EUR	27.99	4.67							Annonay		07100	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
404-5300373-3481912	404-5300373-3481912	2023-08-26T13:18:22+00:00	2023-08-29T13:30:30+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Equerre métallique | 25 pièces 50 x 50 x 40 x 2 mm | Equerre, support d'équerre, équerre en L en métal, équerre en acier	II-HPXR-APRD	B09BVQ8NF3	Shipped	1	EUR	18.99	3.17							Puy-Guillaume		63290	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
405-1903383-4113945	405-1903383-4113945	2023-08-28T22:06:51+00:00	2023-08-29T13:30:19+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 160 pièces Mix jusqu'à 16 t | Entretoises, plaques en plastique, blocs, plaquettes de compens	JV-YDRH-BYKA	B07NZJJHDG	Shipped	1	EUR	43.49	7.25							BENASSAY		86470	FR		false			false	
171-3276685-7512356	171-3276685-7512356	2023-08-28T10:53:47+00:00	2023-08-29T13:25:20+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT premium Entretoises pour lames de terrasse | 200 pièces - 7 mm | Entretoises Terrassfix, entretoises pour lames de terrasse, entretoises pl	JV-VJY6-PMSJ	B09445QYYT	Shipped	1	EUR	24.49	4.08							Colmar	France	68000	FR		false			false	
407-5980218-7321911	407-5980218-7321911	2023-08-25T04:02:37+00:00	2023-08-29T13:20:10+00:00	Cancelled	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 piï¿½ces, Mix - 60 x 45 mm | Cales, entretoises, ï¿½carteurs, plaques en plastiqu	ZJ-O015-RGNY	B07P589646	Cancelled	0										LE SEQUESTRE		81990	FR		false			false	
405-7056927-6270738	405-7056927-6270738	2023-08-29T13:07:18+00:00	2023-08-29T13:07:23+00:00	Pending	Amazon	Amazon.fr		Expedited	Mouji bouillotte | extra peluche 2 litre, gris foncé | bouillotte thermique adulte et enfant, bouillote, bouillotte eau chaude, bouillottes, bouillot	8O-5W99-U0FD	B09TRFKWYB	Unshipped	1	EUR	14.99								chamousset		73390	FR		false			false	
405-9817098-4714731	405-9817098-4714731	2022-07-05T09:58:12+00:00	2023-08-29T12:57:38+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour terrasse en acier inoxydable Haut de gamme avec embout | Nervures de fraisage, pointe Cut | Vis à bois | Revêtement glissant, aci	A5-M669-W35F	B09GKTR4CL	Shipped	1	EUR	25.33	4.22												false			false	
406-9006609-9187505	406-9006609-9187505	2023-08-29T12:16:12+00:00	2023-08-29T12:17:16+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Unshipped	1	EUR	34.99								Lambersart		59130	FR		false			false	
407-5992332-3896341	407-5992332-3896341	2023-08-29T12:00:54+00:00	2023-08-29T12:00:59+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT® vis à aggloméré de qualité supérieure | 5,0 x 60 mm Lot de 500 | avec nervures de fraisage, vis a bois, vis bois torx, vis de terrass	OM-G34F-FUII	B08GJ9K96M	Unshipped	1	EUR	38.99								Lanester	France	56600	FR		false			false	
171-8086866-1006727	171-8086866-1006727	2023-08-29T11:52:32+00:00	2023-08-29T11:53:37+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 600 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	IT-JXWS-5JZ0_FBM	B09BZJJDRZ	Unshipped	1	EUR	25.99								Selestat		67600	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
402-9552185-8833910	402-9552185-8833910	2023-08-29T11:50:02+00:00	2023-08-29T11:51:07+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	23.51								Voiron		38500	FR	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
171-1992786-4816337	171-1992786-4816337	2023-08-27T10:09:36+00:00	2023-08-29T11:29:47+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Vis pour plaques de plï¿½tre de haute qualitï¿½ | 3,9 x 19 mm 500 piï¿½ces | Vis pour plaques de fibrociment, vis pour construction	54-T330-4YP9	B08GFWCTKK	Unshipped	1	EUR	16.99								Ivry sur seine		94200	FR		false			false	
402-1680190-3705118	402-1680190-3705118	2023-08-25T16:13:01+00:00	2023-08-29T11:15:09+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Shipped	6	EUR	159.6	26.58							Calais		62100	FR	Free Shipping 2017/10/17 17-17-37-677	true		Quantity Price	false	
403-5492448-6413936	403-5492448-6413936	2023-08-29T11:10:37+00:00	2023-08-29T11:11:42+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT vis d'ajustage de haute qualité | 100 pcs 6 x 70 mm, T30 Bleu zingué | vis inox, vis bois, vis a bois, Rainures de fraisage, Cut Point, T�	CM-OF55-71LQ	B08XF8T56K	Unshipped	1	EUR	23.49								Port brillet		53410	FR		false			false	
408-8292610-1029936	408-8292610-1029936	2023-08-29T11:00:51+00:00	2023-08-29T11:03:58+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 40 mm 200 piï¿½ces | Dentelle coupï¿½e | Vis ï¿½ bois, N	WP-RL06-9J7C	B09GKW85JT	Unshipped	3	EUR	77.19								PRADES LE LEZ		34730	FR	Free Shipping 2017/10/17 17-17-37-677	true		Business Price	false	
404-8791581-0607532	404-8791581-0607532	2023-08-29T10:22:11+00:00	2023-08-29T10:23:23+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Unshipped	1	EUR	27.99								St Jean De Luz		64500	FR		false			false	
402-4522333-1373119	402-4522333-1373119	2023-08-29T09:46:33+00:00	2023-08-29T09:47:38+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Unshipped	2	EUR	60.78								mhere		58140	FR		false			false	
405-8394974-3365926	405-8394974-3365926	2023-08-29T09:11:22+00:00	2023-08-29T09:12:26+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 160 pièces Mix jusqu'à 16 t | Entretoises, plaques en plastique, blocs, plaquettes de compens	JV-YDRH-BYKA	B07NZJJHDG	Unshipped	1	EUR	43.49								St Herblon		44150	FR		false			false	
407-2885716-2010700	407-2885716-2010700	2023-08-28T21:19:47+00:00	2023-08-29T09:08:29+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXTï¿½ Premium Cales pour vitrage | 24 x 100 mm, 300 piï¿½ces | Fabriquï¿½ en Allemagne | Cales, entretoises, cales d'espacement en pla	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	28.49								Chevigney Sur L Ognon		25170	FR		false			false	
403-2592891-3846712	403-2592891-3846712	2023-08-29T08:33:10+00:00	2023-08-29T08:50:46+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXTï¿½ Premium Cales pour vitrage | 24 x 100 mm, 300 piï¿½ces | Fabriquï¿½ en Allemagne | Cales, entretoises, cales d'espacement en pla	4B-9EAW-HI3A	B09RQ7P7WV	Unshipped	1	EUR	28.49								Quesnoy Sur Deule		59890	FR		false			false	
402-2471013-3448339	402-2471013-3448339	2023-08-29T08:48:47+00:00	2023-08-29T08:48:52+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 40 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	02-ZCJX-YMEJ	B08RP6J47J	Unshipped	1	EUR	28.99								Herblay		95220	FR		false			false	
408-9996492-7993102	408-9996492-7993102	2023-08-21T06:38:30+00:00	2023-08-29T08:38:34+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 10 mm brun - 100 pcs. jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de co	YX-ZU3N-YRQO	B08SCHG523	Shipped	2	EUR	79.98	13.34							Fretterans		71270	FR		false			false	
408-9996492-7993102	408-9996492-7993102	2023-08-21T06:38:30+00:00	2023-08-29T08:38:34+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 20 mm noir - 100 pcs. jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de co	BX-R178-Y4NF	B08SCD4RVN	Shipped	1	EUR	50.99	8.5							Fretterans		71270	FR		false			false	
171-9538693-0195568	171-9538693-0195568	2023-08-29T08:33:51+00:00	2023-08-29T08:33:58+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Unshipped	1	EUR	29.69								MITTELWIHR		68630	FR	Free Shipping 2017/10/17 17-17-37-677	true	chantier	Business Price	false	
405-4241374-6878715	405-4241374-6878715	2023-08-29T08:27:54+00:00	2023-08-29T08:28:58+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Unshipped	1	EUR	45.99								ollioules		83190	FR		false			false	
408-4515469-3386741	408-4515469-3386741	2023-08-29T08:20:47+00:00	2023-08-29T08:21:51+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Premium Disques abrasifs excentriques 125mm | Or, 60 pièces, 8 trous | papier a poncer, disque poncage | Papier abrasif universel Velcro |	2R-9ZP5-A8W2	B09QD5239J	Unshipped	2	EUR	27.98								Mareuil Sur Cher		41110	FR		false			false	
403-4485293-1115533	403-4485293-1115533	2023-08-22T18:28:08+00:00	2023-08-29T08:18:53+00:00	Shipped	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 300 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	4B-9EAW-HI3A	B09RQ7P7WV	Shipped	1	EUR	28.49	4.75							Roussy le village		57330	FR	Free Shipping 2017/10/17 17-41-43-102	false			false	
403-4855796-3891524	403-4855796-3891524	2023-08-29T07:54:39+00:00	2023-08-29T07:55:46+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | C1-5,0 x 60 mm 200 pièces | Dentelle coupée | Vis à bois, Nervures de f	UA-0KEE-NJEO	B09GKVXT43	Unshipped	1	EUR	30.39								MIANNAY		80132	FR		false			false	
171-9234264-4936315	171-9234264-4936315	2023-08-29T07:03:12+00:00	2023-08-29T07:04:22+00:00	Pending	Amazon	Amazon.fr		Expedited	INNONEXXT Pied à biche de qualité supérieure | 800 x 18 mm | En acier spécial | Pour clous, fentes de clous, pied de biche | Grattoir à burin, pi	2I-PB7C-OYPH_FBM	B09BZLK44P	Unshipped	1	EUR	27.99								Croisilles		62128	FR		false			false	
406-4406555-6209930	406-4406555-6209930	2023-08-29T06:06:43+00:00	2023-08-29T06:21:51+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT Haut de gamme Plaques de calage | 60 x 40 mm 40 pièces Mix jusqu'à 5 t | Entretoises, plaques en plastique, blocs, plaquettes de compensat	9L-HBWO-UNTN	B09JGD3YWL	Unshipped	1	EUR	22.99								Bavans		25550	FR		false			false	
406-3928207-3600323	406-3928207-3600323	2023-08-27T15:06:18+00:00	2023-08-29T05:32:34+00:00	Pending	Amazon	Amazon.fr		Standard	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 600 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique, entr	GJ-6IO8-W0G9	B07ZPBVDLY	Unshipped	1	EUR	35.99								Cernay		68700	FR	Free Shipping 2017/10/17 17-17-37-677	false			false	
403-2724395-1739514	403-2724395-1739514	2023-08-28T11:02:29+00:00	2023-08-29T04:16:42+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT® Premium Cales pour vitrage | 24 x 100 mm, 1mm - 500 pièces | Fabriqué en Allemagne | Cales, entretoises, cales d'espacement en plastique	PM-LHJ4-WEIF	B08XW6QH4W	Shipped	1	EUR	32.49	5.42							Aubergenville		78410	FR		false			false	
403-4034575-1842731	403-4034575-1842731	2023-08-28T19:54:12+00:00	2023-08-29T04:16:21+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Entretoises avec aide au montage | 300 pièces, Mix - 60 x 45 mm | Cales, entretoises, écarteurs, plaques en plastique, plaqu	ZJ-O015-RGNY	B07P589646	Shipped	1	EUR	45.99	7.67							ARBANATS		33640	FR		false			false	
408-3914942-4508345	408-3914942-4508345	2023-08-28T17:03:35+00:00	2023-08-29T04:16:10+00:00	Shipped	Amazon	Amazon.fr		Expedited	INNONEXXT Haut de gamme Vis pour terrasse en acier inoxydable avec embout | A2-5,0 x 60 mm 200 pièces TX25 | Dentelle coupée | Vis à bois, Nervures	60-J3H9-BG7K	B08S212QHB	Shipped	1	EUR	34.99	5.83							Montmerle Sur Saone		01090	FR		false			false	
